event,step,tokens,tokens_b,loss,perplexity,lr,tokens_per_sec_window,source
train,2900,1532313600,1.532314,3.3409301415085793,,0.0003901151475285013,38065.866937217346,
train,2910,1537597440,1.537597,3.2890864834189415,,0.0003900117982862917,38069.01026694096,
train,2920,1542881280,1.542881,3.3081193193793297,,0.0003899079269905862,38068.90642257893,
train,2930,1548165120,1.548165,3.3057810813188553,,0.0003898035339603414,38066.75361069786,
train,2940,1553448960,1.553449,3.2797256112098694,,0.0003896986195161159,38071.26352829443,
train,2950,1558732800,1.558733,3.2838344797492027,,0.0003895931839800694,38065.348525999434,
train,2960,1564016640,1.564017,3.2767782658338547,,0.0003894872276759617,38066.969842108316,
train,2970,1569300480,1.569300,3.300678476691246,,0.00038938075092915175,38067.00645849603,
train,2980,1574584320,1.574584,3.2201644107699394,,0.00038927375406659664,38065.63077689404,
train,2990,1579868160,1.579868,3.250372551381588,,0.00038916623741685054,38069.75844700176,
train,3000,1585152000,1.585152,3.2530237063765526,,0.0003890582013100637,38064.83993575312,
eval,3000,1585152000,1.585152,3.293163526803255,26.927916236676467,,,
train,3010,1590435840,1.590436,3.2548021227121353,,0.0003889496460779815,31883.382036792365,
train,3020,1595719680,1.595720,3.2332357615232468,,0.00038884057205394344,38120.4075932401,
train,3030,1601003520,1.601004,3.2639315500855446,,0.0003887309795728819,38122.74576788448,
train,3040,1606287360,1.606287,3.3013468980789185,,0.00038862086897132155,38113.24737765423,
train,3050,1611571200,1.611571,3.239774890244007,,0.0003885102405873777,35667.30709959547,
train,3060,1616855040,1.616855,3.3496165797114372,,0.00038839909476075604,38110.15296749321,
train,3070,1622138880,1.622139,3.271281160414219,,0.00038828743183275073,38109.08025893565,
train,3080,1627422720,1.627423,3.281641513109207,,0.0003881752521462441,38108.48688418194,
train,3090,1632706560,1.632707,3.3489439487457275,,0.00038806255604570503,38119.253595312905,
train,3100,1637990400,1.637990,3.254580572247505,,0.0003879493438771884,38112.771654940545,
train,3110,1643274240,1.643274,3.2421125322580338,,0.00038783561598833364,38108.53648973459,
train,3120,1648558080,1.648558,3.277987986803055,,0.00038772137272836385,38111.30117136592,
train,3130,1653841920,1.653842,3.287918634712696,,0.0003876066144480846,38116.16391314977,
train,3140,1659125760,1.659126,3.2313535436987877,,0.00038749134149988296,38117.71980417461,
train,3150,1664409600,1.664410,3.274347633123398,,0.0003873755542377264,38113.77607433833,
train,3160,1669693440,1.669693,3.2531056478619576,,0.0003872592530171618,38115.49270270789,
train,3170,1674977280,1.674977,3.222312957048416,,0.00038714243819531395,38112.60950031172,
train,3180,1680261120,1.680261,3.3110173791646957,,0.00038702511013088503,38123.93270274215,
train,3190,1685544960,1.685545,3.2702411711215973,,0.0003869072691841531,38110.50915233111,
train,3200,1690828800,1.690829,3.2780716195702553,,0.00038678891571697127,38121.42480855334,
train,3210,1696112640,1.696113,3.300952836871147,,0.00038667005009276607,38115.07198728565,
train,3220,1701396480,1.701396,3.2626895904541016,,0.0003865506726765373,38112.65007161125,
train,3230,1706680320,1.706680,3.2533176988363266,,0.0003864307838348557,38117.40400040335,
